"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"P6","HDR1X8","52.9844mm","29.0578mm","44.0944mm","29.0578mm","44.0944mm","29.0578mm","T","360.00","Header 8"
"P5","HDR1X8","28.9814mm","29.0578mm","20.0914mm","29.0578mm","20.0914mm","29.0578mm","T","360.00","Header 8"
"P4","HDR1X8","52.9844mm","1.27mm","44.0944mm","1.27mm","44.0944mm","1.27mm","T","360.00","Header 8"
"P3","HDR1X8","28.9814mm","1.27mm","20.0914mm","1.27mm","20.0914mm","1.27mm","T","360.00","Header 8"
"S1","SWITCH_SMD_4x3_DHT-1185","43.2562mm","8.1536mm","43.2562mm","8.1536mm","41.3062mm","8.1536mm","T","360.00","SW-PB"
"RST","SWITCH_SMD_4x3_DHT-1185","54.5084mm","7.4424mm","54.5084mm","7.4424mm","56.4584mm","7.4424mm","T","180.00","SW-PB"
"R15","R0603-M","46.8122mm","12.6494mm","46.8122mm","12.6494mm","47.5872mm","12.6494mm","T","180.00","Resistors SMD"
"D3","0603","46.9138mm","11.2016mm","46.9138mm","11.2016mm","46.0638mm","11.2016mm","T","0.00","LED"
"L3","INDC1005X04L","55.9308mm","21.2854mm","55.9308mm","21.2854mm","56.4058mm","21.2854mm","T","180.00","15nH"
"U1","QFN40P600X600X90-48N","55.8798mm","13.6147mm","55.88mm","13.6146mm","54.9428mm","17.6631mm","T","315.00","nRF52832-QFAA"
"C15","C0603","13.9446mm","10.719mm","13.9446mm","10.719mm","13.9446mm","9.969mm","T","90.00","Cap Semi"
"C16","C0603","25.527mm","20.3202mm","25.527mm","20.3202mm","26.277mm","20.3202mm","T","180.00","Cap Semi"
"C17","C0603","31.7754mm","7.3916mm","31.7754mm","7.3916mm","32.5254mm","7.3916mm","T","180.00","Cap Semi"
"C18","C0603","31.7754mm","23.038mm","31.7754mm","23.038mm","32.5254mm","23.038mm","T","180.00","Cap Semi"
"C19","C0603","27.432mm","15.9768mm","27.432mm","15.9768mm","27.432mm","16.7268mm","T","270.00","Cap Semi"
"C20","C0603","9.398mm","11.735mm","9.398mm","11.735mm","10.148mm","11.735mm","T","180.00","Cap Semi"
